fecha,1_5MA,1_desviacion_estandar_relativa,1_5MA_desviacion_estandar_relativa,1_RoC_trimestral,4_5MA,4_desviacion_estandar_relativa,4_5MA_desviacion_estandar_relativa,4_RoC_trimestral,5_5MA,5_desviacion_estandar_relativa,5_5MA_desviacion_estandar_relativa,5_RoC_trimestral,6_5MA,6_desviacion_estandar_relativa,6_5MA_desviacion_estandar_relativa,6_RoC_trimestral,7_5MA,7_desviacion_estandar_relativa,7_5MA_desviacion_estandar_relativa,7_RoC_trimestral,8_5MA,8_desviacion_estandar_relativa,8_5MA_desviacion_estandar_relativa,8_RoC_trimestral,9_5MA,9_desviacion_estandar_relativa,9_5MA_desviacion_estandar_relativa,9_RoC_trimestral,10_5MA,10_desviacion_estandar_relativa,10_5MA_desviacion_estandar_relativa,10_RoC_trimestral,11_5MA,11_desviacion_estandar_relativa,11_5MA_desviacion_estandar_relativa,11_RoC_trimestral,12_5MA,12_desviacion_estandar_relativa,12_5MA_desviacion_estandar_relativa,12_RoC_trimestral,13_5MA,13_desviacion_estandar_relativa,13_5MA_desviacion_estandar_relativa,13_RoC_trimestral,14_5MA,14_desviacion_estandar_relativa,14_5MA_desviacion_estandar_relativa,14_RoC_trimestral,15_5MA,15_desviacion_estandar_relativa,15_5MA_desviacion_estandar_relativa,15_RoC_trimestral,16_5MA,16_desviacion_estandar_relativa,16_5MA_desviacion_estandar_relativa,16_RoC_trimestral,17_5MA,17_desviacion_estandar_relativa,17_5MA_desviacion_estandar_relativa,17_RoC_trimestral,18_5MA,18_desviacion_estandar_relativa,18_5MA_desviacion_estandar_relativa,18_RoC_trimestral,19_5MA,19_desviacion_estandar_relativa,19_5MA_desviacion_estandar_relativa,19_RoC_trimestral,21_5MA,21_desviacion_estandar_relativa,21_5MA_desviacion_estandar_relativa,21_RoC_trimestral,22_5MA,22_desviacion_estandar_relativa,22_5MA_desviacion_estandar_relativa,22_RoC_trimestral,23_5MA,23_desviacion_estandar_relativa,23_5MA_desviacion_estandar_relativa,23_RoC_trimestral,24_5MA,24_desviacion_estandar_relativa,24_5MA_desviacion_estandar_relativa,24_RoC_trimestral,25_5MA,25_desviacion_estandar_relativa,25_5MA_desviacion_estandar_relativa,25_RoC_trimestral,26_5MA,26_desviacion_estandar_relativa,26_5MA_desviacion_estandar_relativa,26_RoC_trimestral,27_5MA,27_desviacion_estandar_relativa,27_5MA_desviacion_estandar_relativa,27_RoC_trimestral,28_5MA,28_desviacion_estandar_relativa,28_5MA_desviacion_estandar_relativa,28_RoC_trimestral,29_5MA,29_desviacion_estandar_relativa,29_5MA_desviacion_estandar_relativa,29_RoC_trimestral,30_5MA,30_desviacion_estandar_relativa,30_5MA_desviacion_estandar_relativa,30_RoC_trimestral,31_5MA,31_desviacion_estandar_relativa,31_5MA_desviacion_estandar_relativa,31_RoC_trimestral,32_5MA,32_desviacion_estandar_relativa,32_5MA_desviacion_estandar_relativa,32_RoC_trimestral,34_5MA,34_desviacion_estandar_relativa,34_5MA_desviacion_estandar_relativa,34_RoC_trimestral,35_5MA,35_desviacion_estandar_relativa,35_5MA_desviacion_estandar_relativa,35_RoC_trimestral,40_5MA,40_desviacion_estandar_relativa,40_5MA_desviacion_estandar_relativa,40_RoC_trimestral,41_5MA,41_desviacion_estandar_relativa,41_5MA_desviacion_estandar_relativa,41_RoC_trimestral,42_5MA,42_desviacion_estandar_relativa,42_5MA_desviacion_estandar_relativa,42_RoC_trimestral,43_5MA,43_desviacion_estandar_relativa,43_5MA_desviacion_estandar_relativa,43_RoC_trimestral
1996-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,,,,0.06661195946910237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13400491905889234,,,,,,,,,,,,0.06615426846006023,,,,0.06615426846006023,,,,0.07741809035377134,,,,0.0068763967680933735,,,,,,,,,,,,0.20288471203135994,,,,0.09297598434088661,,,,,,,,,,,,,,,,-0.4476483516483516,,,,-1.4104661857965823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22841842858461825,,,,0.03685784264488867
1996-09-30,,,,0.0027094831911691486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07221064564850299,,,,,,,,,,,,-0.055973223480947465,,,,-0.055973223480947465,,,,-0.07279507625140225,,,,0.038757042854703716,,,,,,,,,,,,-0.10733235847085854,,,,0.021008403361344685,,,,,,,,,,,,0.0077516682786982205,,,,-2.4932988602785984,,,,-1.5479355645918047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16753100338218718,,,,0.03737926368171096
1996-12-31,,,,0.17020282892981053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027912838544620344,,,,,,,,,,,,0.14942998963617526,,,,0.14942998963617526,,,,0.15960368844418293,,,,0.09829059829059839,,,,,,,,,,,,0.2405223251895534,,,,0.04398569790190909,,,,,,,,,,,,0.05999654755739692,,,,-0.5273311897106109,,,,2.7662337662337664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2361863488624052,,,,0.038138515202537526
1997-03-31,21278.13333333333,0.11616505754538693,,0.043645589828382514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.196103707242837,0.05519378198909621,,-0.05766626587991486,,,,,,,,,12946.266666666666,0.06184471028330688,,-0.04821449756792029,12946.266666666666,0.06184471028330688,,-0.04821449756792029,10852.733333333334,0.06267831732253412,,-0.06522290838338551,2093.5333333333338,0.08195621489259886,,0.042053277461837624,,,,,,,,,7963.2,0.1388316474161297,,0.04674589700056586,9970.333333333332,0.08354670141134497,,0.07777059773828765,,,,,,,,,,,,0.0220175358599215,0.01738386172313471,9.652028737045459,,0.9540438397581252,0.23465938765439837,1.1687693979581955,,0.7606896551724138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4298.0666666666675,0.1527235307174193,,0.13694127957931634,69.70714000000001,0.05773054416593451,,0.03589324882544642
1997-06-30,22713.466666666667,0.11736866894303671,,0.059657461280013147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9486411919803235,0.05132285606385495,,-0.06588554261840818,,,,,,,,,13325.8,0.05810003596334317,,0.050108443646698086,13325.8,0.05810003596334317,,0.050108443646698086,11150.666666666666,0.05836732946447964,,0.058280542986425266,2175.1333333333337,0.08121576857013242,,0.011202068074106064,,,,,,,,,8623.066666666668,0.1272699012325629,,0.07396193771626303,10583.666666666666,0.08788100092075421,,0.07221872470545909,,,,,,,,,50987.8,0.059761135339948916,,0.05722972197789589,0.02243340234644583,7.11471943545352,,-2.150913143795706,0.30990348781653126,1.1607026175415636,,0.34838134838134804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4736.2,0.16856684036306666,,0.11794179996145693,72.22189999999999,0.056107097237411085,,0.032490728767006205
1997-09-30,24031.666666666668,0.10708134003452807,,0.02548140128373677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.884699481516873,0.06278756634389372,,-0.018399381972962314,,,,,,,,,13574.866666666665,0.060456422563027176,,0.01075421978491553,13574.866666666665,0.060456422563027176,,0.01075421978491553,11332.0,0.06345861236264617,,0.017701385325808117,2242.8666666666663,0.057130030739792184,,-0.023860247123988043,,,,,,,,,9069.8,0.134232122022472,,0.02819170358437373,11204.933333333332,0.10519488073224767,,0.07238718335849681,,,,,,,,,52872.26666666668,0.06689864781688527,,0.03680526667992989,0.07833163454902586,1.8997789505030727,,-1.9256082967690469,0.4834964166268514,0.5823506355817989,,-0.04427631998978476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5107.0,0.20022814898143879,,0.0841234269953457,74.7441,0.053387230866139064,,0.03134279499995474
1997-12-31,25988.666666666668,0.09400157982342353,,0.1224689868406168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.978184988763249,0.07865577137811282,,0.19913556282068745,,,,,,,,,14323.666666666666,0.06784841983199832,,0.125,14323.666666666666,0.06784841983199832,,0.125,11975.6,0.0726614553486547,,0.12696412066212925,2326.0666666666666,0.03422453765114073,,0.0667830641641205,,,,,,,,,9689.666666666668,0.0640304409908591,,0.0009139574356966662,11789.0,0.09148914967331695,,0.0013557554425760454,,,,,,,,,55135.66666666667,0.06312178519491132,,0.03952831176080651,0.02496206933163456,6.243131902244211,,-1.5882352941176472,0.4834964166268514,0.5823506355817989,,-0.8829787234042553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5672.6,0.14150686478833724,,0.036730799809190584,77.33054,0.05197305549191621,,0.03549505267238495
1998-03-31,27310.2,0.09043129981600227,0.1050095892324755,0.0075246061338976045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8932087407761315,0.07258443806566078,0.0641088827681237,-0.09036236931782182,,,,,,,,,14411.0,0.06664795573518399,0.06297950887537192,-0.09275961418013279,14411.0,0.06664795573518399,0.06297950887537192,-0.09275961418013279,12031.2,0.07203697360456149,0.06584053762057522,-0.09789740530867874,2357.8,0.025233428607913853,0.0559519960923156,-0.023731587561374834,,,,,,,,,10004.266666666666,0.045544627536391304,0.10198174783968299,0.018262457605008997,12295.266666666666,0.0620127450994253,0.08602489556741783,0.0035670580883693237,,,,,,,,,57354.8,0.06694242374326925,,0.04488857564773796,0.07109491957318045,2.8572035172519628,5.5533725084996455,-4.174567901234568,0.5244529383659818,0.5060448448048854,0.8000436262936483,5.212987012987014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6057.4,0.09312861541936816,0.15123080005392603,-0.004907975460122671,79.91398000000001,0.05126716885976472,0.05409301932423312,0.03198124522952783
1998-06-30,28612.8,0.07912552826680604,0.09760168337675933,0.03087387056979951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.823483140450532,0.07511296402343122,0.0680927191749907,-0.05023380874444705,,,,,,,,,14739.4,0.05289690975870637,0.06118994877045181,0.0364515015533311,14739.4,0.05289690975870637,0.06118994877045181,0.0364515015533311,12306.0,0.05479224057673312,0.06426332227141501,0.02686172410943044,2411.4,0.047234135806055316,0.0490075802750069,0.08507963118189443,,,,,,,,,10499.866666666667,0.06725613011596435,0.08766664437964992,0.12663335895465022,12844.266666666666,0.05359785569134226,0.08003512642341729,0.07907845579078465,,,,,,,,,59741.2,0.06046226282182208,0.06343725098336736,0.03152552716527213,0.036795774274035145,5.425551260355396,4.708077013161633,-1.049539011971928,0.6372990922121357,0.5927969143198895,0.6848491295659873,1.1523668639053253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6539.6,0.10073301055349146,0.14083269602114046,0.1713933415536375,82.49806,0.050695872868604774,0.05268608506476717,0.03048766886557308
